id	ten	tac_gia	license	so_tam	dinh_dang	tag	loai
ArmChair_01	Arm Chair 01	Kirill Sannikov	CC0 1.0	5626	gltf,blend,fbx	furniture,seating,gothic,vintage,chair,furniture,victorian,couch,wood,varnished,classic	models
BarberShopChair_01	Barber Shop Chair 01	Fernando Quinn	CC0 1.0	4280	gltf,blend,fbx	furniture,seating,chair,vintage,wood,leather,fancy,upholstery,barber,salon	models
Barrel_01	Barrel_01	Jorge Camacho	CC0 1.0	2682	gltf,blend,fbx	industrial,containers,barrel,oil,explosive,radioactive,metal,red barrel,oil barrel,drums,fuel barrel,explosive barrel,industrial	models
Barrel_02	Barrel 02	Jorge Camacho	CC0 1.0	2688	gltf,blend,fbx	industrial,containers,collection: the_shed,barrel,water,plastic,garage,warehouse,industrial,storage,drums,cylindrical	models
Camera_01	Camera 01	Rajil Jose Macatangay	CC0 1.0	26987	gltf,blend,fbx	props,electronics,vintage,camera,antique,ornate,photography,photography,retro,lens,classic,classic,analog	models
CashRegister_01	Cash Register 01	Joe Seabuhr	CC0 1.0	9927	gltf,blend,fbx	appliances,props,commercial,store,vintage,cash,transaction,register,money,sales,convenience store,cashier,retail,business	models
Chandelier_01	Chandelier 01	Kirill Sannikov	CC0 1.0	26860	gltf,blend,fbx	lighting,decorative,lighting,ceiling,hanging,fixture,chandelier,ornate,vintage	models
Chandelier_02	Chandelier 02	Kirill Sannikov	CC0 1.0	21514	gltf,blend,fbx	lighting,lighting,ceiling,decorative,chandelier,elegant,hanging,ornate,vintage	models
Chandelier_03	Chandelier 03	Kirill Sannikov	CC0 1.0	29301	gltf,blend,fbx	lighting,decorative,lighting,ceiling,hanging,fixture,chandelier,ornate,decor,elegant	models
CheeseBox_01	CheeseBox_01	Gabriel Radić	CC0 1.0	884	gltf,blend,fbx	props,containers,collection: the_shed,box,wood,storage,crate,wooden,vintage,farmhouse,aged,distressed,weathered,carpentry	models
ClassicConsole_01	Classic Console 01	Kirill Sannikov	CC0 1.0	7566	gltf,blend,fbx	furniture,table,wood,vintage,table,gothic,victorian,decorative	models
ClassicNightstand_01	Classic Nightstand 01	Kirill Sannikov	CC0 1.0	2002	gltf,blend,fbx	furniture,table,wood,vintage,table,gothic,victorian,decorative	models
CoffeeCart_01	Coffee Cart 01	Joe Seabuhr	CC0 1.0	27659	gltf,blend,fbx	appliances,props,furniture,office,table,metal,shelf,plastic,cart,coffee,portable,wheels,tea,coffee maker,mobile,catering	models
CoffeeTable_01	Coffee Table 01	Fernando Quinn	CC0 1.0	10404	gltf,blend,fbx	furniture,table,wood,vintage,table,painted,old,worn,decorative	models
Drill_01	Drill 01	Fernando Quinn	CC0 1.0	2926	gltf,blend,fbx	props,tools,electronics,collection: the_shed,metal,plastic,tool,drill,prop	models
GothicBed_01	Gothic Bed 01	Kirill Sannikov	CC0 1.0	18741	gltf,blend,fbx	furniture,bed,vintage,gothic,furniture,bed,wood,decorative	models
GothicCabinet_01	Gothic Cabinet 01	Kirill Sannikov	CC0 1.0	12170	gltf,blend,fbx	furniture,shelves,vintage,wood,gothic,furniture,table,shelf,decorative	models
GothicCommode_01	Gothic Commode 01	Kirill Sannikov	CC0 1.0	3897	gltf,blend,fbx	furniture,shelves,vintage,wood,table,gothic,shelf,furniture,decorative	models
GreenChair_01	Green Chair 01	Kirill Sannikov	CC0 1.0	4213	gltf,blend,fbx	furniture,seating,vintage,wood,gothic,furniture,chair,fabric,decorative	models
Lantern_01	Lantern 01	Rajil Jose Macatangay	CC0 1.0	33902	gltf,blend,fbx	props,lighting,prop,metal,glass,lantern,antique,vintage,hurricane,lamp,bronze,oldfashioned,brass,copper	models
Megaphone_01	Megaphone 01	Ethan Simon-Law	CC0 1.0	15814	gltf,blend,fbx	props,electronics,tools,plastic,megaphone,device,audio,amplifier,loudspeaker,announcement	models
Ottoman_01	Ottoman 01	Caspian Fortune	CC0 1.0	4240	gltf,blend,fbx	furniture,seating,furniture,leather,chair,fabric,ottoman,upholstery,interior design,living room,lounge	models
Rockingchair_01	Rockingchair 01	Jorge Camacho	CC0 1.0	11866	gltf,blend,fbx	furniture,seating,chair,vintage,prop,wood,furniture,rocking chair,rocking,decorative,curved legs,traditional,solid wood,armrest,slatted backrest,antique style	models
SchoolChair_01	School Chair 01	Ethan Place	CC0 1.0	5072	gltf,blend,fbx	furniture,seating,prop,furniture,metal,plastic,chair,school	models
SchoolDesk_01	School Desk 01	Ethan Place	CC0 1.0	4162	gltf,blend,fbx	furniture,table,school,desk,wood,metal,classroom,student,single-seat,school furniture,storage-shelf,metal legs,student seating	models
Shelf_01	Shelf 01	Gabriel Radić	CC0 1.0	182	gltf,blend,fbx	furniture,shelves,wood,shelf,furniture,storage,home,organization,display,wooden,bookcase,shelves,bookshelf,dirty,weathered,distressed,aged,simple	models
Sofa_01	Sofa 01	Kirill Sannikov	CC0 1.0	4101	gltf,blend,fbx	furniture,seating,wood,prop,furniture,vintage,gothic,chair,couch,victorian,decorative	models
Television_01	Television 01	Gabriel Radić	CC0 1.0	1918	gltf,blend,fbx	props,electronics,collection: the_shed,vintage,prop,furniture,metal,wood,tv,television,video,audio	models
Ukulele_01	Ukulele 01	Joseph Burgan	CC0 1.0	8912	gltf,blend,fbx	props,instrument,instrument,wood,prop,guitar,ukulele,music	models
WetFloorSign_01	Wet Floor Sign 01	Fran Calvente	CC0 1.0	228	gltf,blend,fbx	props,industrial,office,prop,plastic,sign,safety,caution,warning,yellow,hazard,slippery,slippery when wet,utility	models
WoodenChair_01	Wooden Chair 01	Jake Mobley	CC0 1.0	19992	gltf,blend,fbx	furniture,seating,wood,prop,vintage,furniture,chair,gothic,victorian,decorative	models
WoodenTable_01	Wooden Table 01	Ethan Place	CC0 1.0	952	gltf,blend,fbx	furniture,vintage,wood,prop,table,school,desk,old,worn	models
WoodenTable_02	Wooden Table 02	Fran Calvente	CC0 1.0	1514	gltf,blend,fbx	furniture,table,vintage,wood,prop,table,furniture,old,worn,small	models
